vid_id,frame_order,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,exercise
208,0,82.59097,90.13139,82.59089,161.16093,163.6647,148.55386,155.90721,push_up
208,1,72.55316,82.56421,85.95661,149.48235,162.63791,125.42418,152.33003,push_up
208,2,69.27665,79.1831,95.2818,156.016,167.69188,99.39444,155.25385,push_up
208,3,85.497536,80.7661,102.82204,159.73495,167.4382,138.00659,160.75182,push_up
208,4,86.98681,84.70387,105.41999,162.17429,166.59999,151.7627,160.56967,push_up
208,5,86.74131,81.987724,101.17883,161.64,167.45259,147.59584,160.84074,push_up
208,6,90.594635,81.902115,99.32555,159.96385,162.53436,148.0009,151.44443,push_up
208,8,91.28698,73.09503,107.67234,124.76901,157.21472,136.05972,162.726,push_up
208,18,66.79679,78.739296,84.681046,162.2066,168.86409,121.8476,145.63602,push_up
208,19,66.185875,63.387104,78.459595,173.10536,171.65596,104.205055,157.51956,push_up
208,20,68.87452,83.60808,73.741646,153.13956,162.79692,89.34103,156.33366,push_up
208,21,67.18182,77.463005,79.014114,156.49184,170.06575,76.17702,147.1369,push_up
208,22,74.06561,81.16327,87.257904,157.12596,171.60834,102.56199,149.21742,push_up
208,23,59.772293,87.82703,105.9809,154.8193,170.05948,72.10358,154.971,push_up
208,24,56.224907,75.94258,83.36695,155.5699,168.46439,104.378525,154.73395,push_up
208,25,65.180695,74.6293,78.90111,171.11737,171.43478,118.98935,159.24974,push_up
208,26,68.44514,73.58575,82.693474,168.675,170.97859,114.313774,158.72661,push_up
208,28,73.72723,81.08538,83.80429,145.33151,162.15622,142.31104,162.39163,push_up
208,33,106.62915,89.77535,74.12109,154.5447,154.29375,123.525276,168.69698,push_up
208,37,59.29402,66.58203,93.633415,166.33562,168.72725,114.028755,152.31038,push_up
208,38,78.83094,71.787125,85.46466,163.92886,166.38306,118.65585,161.43124,push_up
208,39,81.10667,72.43785,85.89136,163.64818,165.9481,123.9083,161.77872,push_up
208,40,84.02126,84.91063,82.254425,148.4309,164.05551,147.77603,158.25166,push_up
208,41,71.58248,82.42561,83.812485,148.97719,167.24425,119.93354,155.70543,push_up
208,42,73.80764,87.63957,88.21538,146.82974,164.3183,141.51074,159.13226,push_up
208,43,85.19918,83.4909,85.31062,154.77454,163.37434,150.06102,162.26125,push_up
208,44,78.248695,69.08596,74.57261,162.36179,167.25241,107.90838,163.76251,push_up
208,45,90.7506,59.203747,71.18742,165.1303,164.48016,141.9819,160.99062,push_up
208,46,82.57872,65.461716,88.525764,166.80447,164.43489,131.25934,165.83997,push_up
208,47,82.57872,65.461716,88.525764,166.80447,164.43489,131.25934,165.83997,push_up
